"Mod name","Registry name","Item ID","Meta/dmg","Subtypes","Display name","Hunger","Saturation","Ore Dict keys"
"Atum 2","atum:crunchy_scarab",6038,0,"false","Crunchy Scarab",3,0.1,""
"Atum 2","atum:date",6024,0,"false","Date",4,0.3,"cropDate,listAllfruit"
"Atum 2","atum:emmer_bread",6021,0,"false","Emmer Bread",4,0.9,"bread,foodBread"
"Atum 2","atum:golden_date",6026,0,"false","Golden Date",5,1.5,""
"Atum 2","atum:golden_date_enchanted",6027,0,"false","Enchanted Golden Date",5,1.5,""
"Baubley Heart Canisters","bhc:relic_apple",6969,0,"false","Relic Apple",2,0.5,""
"Better Animals Plus","betteranimalsplus:blubber",7377,0,"false","Blubber",1,2.0,""
"Better Animals Plus","betteranimalsplus:crab_meat_cooked",7401,0,"false","Cooked Crab Meat",5,1.2,"foodCrabcooked,listAllfishcooked,listAllmeatcooked"
"Better Animals Plus","betteranimalsplus:crab_meat_raw",7400,0,"false","Raw Crab Meat",2,1.0,"foodCrabraw,listAllfishraw,listAllmeatraw"
"Better Animals Plus","betteranimalsplus:eel_meat_cooked",7411,0,"false","Cooked Eel Meat",4,0.7,"listAllmeatcooked"
"Better Animals Plus","betteranimalsplus:eel_meat_raw",7410,0,"false","Raw Eel Meat",1,0.0,"foodEelraw,listAllmeatraw"
"Better Animals Plus","betteranimalsplus:fried_egg",7412,0,"false","Fried Egg",5,1.5,"foodFriedegg"
"Better Animals Plus","betteranimalsplus:goatcheese",7379,0,"false","Goat Cheese",3,1.0,"foodCheese,foodGoatCheese"
"Better Animals Plus","betteranimalsplus:pheasantcooked",7381,0,"false","Cooked Pheasant",7,1.2,"listAllmeatcooked"
"Better Animals Plus","betteranimalsplus:pheasantraw",7380,0,"false","Raw Pheasant",3,0.0,"listAllmeatraw"
"Better Animals Plus","betteranimalsplus:turkey_leg_cooked",7409,0,"false","Cooked Turkey Leg",4,1.2,"listAllmeatcooked,listAllturkeycooked"
"Better Animals Plus","betteranimalsplus:turkey_leg_raw",7408,0,"false","Raw Turkey Leg",2,0.0,"listAllmeatraw,listAllturkeyraw"
"Better Animals Plus","betteranimalsplus:venisoncooked",7374,0,"false","Cooked Venison",8,1.2,"foodVenisoncooked,listAllmeatcooked,listAllvenisoncooked"
"Better Animals Plus","betteranimalsplus:venisonraw",7373,0,"false","Raw Venison",4,0.0,"foodVenisonraw,listAllmeatraw,listAllvenisonraw"
"Bewitchment","bewitchment:elderberries",7563,0,"false","Elderberries",1,0.5,""
"Bewitchment","bewitchment:elderberry_jelly",7596,0,"false","Elderberry Jelly",5,0.8,""
"Bewitchment","bewitchment:garlic",7551,0,"false","Garlic",2,0.2,"cropGarlic,listAllherb"
"Bewitchment","bewitchment:garlic_bread",7598,0,"false","Garlic Bread",7,0.8,"foodGarlicbread"
"Bewitchment","bewitchment:garlic_grilled",7595,0,"false","Grilled Garlic",4,0.5,""
"Bewitchment","bewitchment:heart",7572,0,"false","Heart",8,0.8,""
"Bewitchment","bewitchment:juniper_berries",7564,0,"false","Juniper Berries",1,0.5,"cropJuniperberry,cropWildberry,listAllberry,listAllfruit"
"Bewitchment","bewitchment:juniper_tea",7597,0,"false","Juniper Tea",6,0.55,""
"Bewitchment","bewitchment:stew_of_the_grotesque",7565,0,"false","Stew of the Grotesque",8,1.25,""
"Biomes O' Plenty","biomesoplenty:berries",4244,0,"false","Berry",1,0.1,"cropWildberry,listAllberry,listAllfruit"
"Biomes O' Plenty","biomesoplenty:filled_honeycomb",4249,0,"false","Filled Honeycomb",3,0.4,"foodFilledhoneycomb,foodHoneydrop,listAllsugar"
"Biomes O' Plenty","biomesoplenty:peach",4246,0,"false","Peach",5,0.2,"cropPeach,listAllfruit"
"Biomes O' Plenty","biomesoplenty:pear",4245,0,"false","Pear",5,0.3,"cropPear,listAllfruit"
"Biomes O' Plenty","biomesoplenty:persimmon",4247,0,"false","Persimmon",5,0.2,"cropPersimmon,listAllfruit"
"Biomes O' Plenty","biomesoplenty:ricebowl",4251,0,"false","Bowl of Rice",2,0.6,"foodBowlofrice"
"Biomes O' Plenty","biomesoplenty:shroompowder",4250,0,"false","Shroom Powder",1,0.1,"foodMushroompowder"
"Botania","botania:manacookie",6982,0,"false","Biscuit of Totality",0,0.1,""
"Charm","charm:suspicious_soup",12798,0,"true","Suspicious Soup",10,0.2,""
"ChocoCraft Plus","chococraftplus:cooked_chocobo_leg",4521,0,"false","Cooked Chocobo Leg",8,0.6,"foodChocobocooked,foodOstrichcooked,foodTurkeycooked,listAllchocobocooked,listAllmeatcooked,listAllostrichcooked,listAllturkeycooked"
"ChocoCraft Plus","chococraftplus:nut_carob",4554,0,"false","Carob Nut",7,0.6,"cropCarob,cropWalnut,listAllnut"
"ChocoCraft Plus","chococraftplus:nut_lasan",4551,0,"false","Lasan Nut",4,0.6,"cropAcorn,cropLasan,listAllnut"
"ChocoCraft Plus","chococraftplus:nut_luchile",4549,0,"false","Luchile Nut",2,0.6,"cropChestnut,cropFilbert,cropHazelnut,cropLuchile,cropRunchin,listAllnut"
"ChocoCraft Plus","chococraftplus:nut_param",4552,0,"false","Param Nut",5,0.6,"cropAlmond,cropParam,cropPram,listAllnut"
"ChocoCraft Plus","chococraftplus:nut_pipio",4548,0,"false","Pipio Nut",1,0.6,"cropPepio,cropPipio,listAllnut"
"ChocoCraft Plus","chococraftplus:nut_porov",4553,0,"false","Porov Bean",6,0.6,"cropBean,cropKidneybean,cropPorofu,cropPorov,listAllnut"
"ChocoCraft Plus","chococraftplus:nut_saraha",4550,0,"false","Saraha Bean",3,0.6,"cropBean,cropCoffee,cropSaraha,listAllnut"
"ChocoCraft Plus","chococraftplus:nut_zeio",4555,0,"false","Zeio Nut",8,0.6,"cropPeanut,cropZeio,listAllnut"
"ChocoCraft Plus","chococraftplus:raw_chocobo_leg",4520,0,"false","Raw Chocobo Leg",4,0.6,"foodChocoboraw,foodOstrichraw,foodTurkeyraw,listAllchocoboraw,listAllmeatraw,listAllostrichraw,listAllturkeyraw"
"ChocoCraft Plus","chococraftplus:veg_cree",4544,0,"false","Cree Root",5,0.2,"cropCree,cropCuriel,cropKurie,cropParsnip,listAllrootveggie,listAllveggie"
"ChocoCraft Plus","chococraftplus:veg_gysahl",4540,0,"false","Gysahl Carrot",1,0.2,"cropCarrot,cropGysahl,listAllrootveggie,listAllveggie"
"ChocoCraft Plus","chococraftplus:veg_krakka",4541,0,"false","Krakka Root",2,0.2,"cropKaraka,cropKrakka,cropRadish,cropRutabaga,cropTurnip,listAllrootveggie,listAllveggie"
"ChocoCraft Plus","chococraftplus:veg_mimett",4545,0,"false","Mimett Fruit",7,0.2,"cropGourd,cropMemit,cropMemmet,cropMimett,cropPumpkin,cropSamolen,listAllfruit"
"ChocoCraft Plus","chococraftplus:veg_pasana",4543,0,"false","Pasana Fruit",4,0.2,"cropApple,cropPahsana,cropPasana,listAllfruit"
"ChocoCraft Plus","chococraftplus:veg_reagan",4546,0,"false","Reagan Veggie",6,0.2,"cropBellpepper,cropReagan,cropRegan,listAllpepper,listAllveggie"
"ChocoCraft Plus","chococraftplus:veg_sylkis",4547,0,"false","Sylkis Bud",8,0.2,"cropCaper,cropSylkis,listAllherb,listAllveggie"
"ChocoCraft Plus","chococraftplus:veg_tantal",4542,0,"false","Tantal Veggie",3,0.2,"cropEggplant,cropTantal,listAllveggie"
"DrZhark's Mo'Creatures Extended","mocreatures:crabcooked",8430,0,"false","Cooked Crab",4,0.6,"foodCrabcooked,listAllmeatcooked"
"DrZhark's Mo'Creatures Extended","mocreatures:crabraw",8429,0,"false","Raw Crab",2,0.1,"foodCrabraw,listAllmeatraw"
"DrZhark's Mo'Creatures Extended","mocreatures:duckcooked",8363,0,"false","Cooked Duck",6,0.7,"foodDuckcooked,listAllduckcooked,listAllmeatcooked"
"DrZhark's Mo'Creatures Extended","mocreatures:duckraw",8362,0,"false","Raw Duck",2,0.4,"foodDuckraw,listAllduckraw,listAllmeatraw"
"DrZhark's Mo'Creatures Extended","mocreatures:mysticpear",8357,0,"false","Mystic Pear",4,0.8,""
"DrZhark's Mo'Creatures Extended","mocreatures:omelet",8301,0,"false","Omelette",3,0.5,"foodOmelet"
"DrZhark's Mo'Creatures Extended","mocreatures:ostrichcooked",8354,0,"false","Cooked Ostrich",7,0.8,"foodOstrichcooked,listAllmeatcooked"
"DrZhark's Mo'Creatures Extended","mocreatures:ostrichraw",8353,0,"false","Raw Ostrich",3,0.4,"foodOstrichraw,listAllmeatraw"
"DrZhark's Mo'Creatures Extended","mocreatures:ratburger",8370,0,"false","Rat Burger",9,0.5,"foodRatburger"
"DrZhark's Mo'Creatures Extended","mocreatures:ratcooked",8369,0,"false","Cooked Rat",4,0.5,"foodRatcooked,listAllmeatcooked"
"DrZhark's Mo'Creatures Extended","mocreatures:ratraw",8368,0,"false","Raw Rat",2,0.1,"foodRatraw,listAllmeatraw"
"DrZhark's Mo'Creatures Extended","mocreatures:sugarlump",8288,0,"false","Sugar Lumps",1,0.1,""
"DrZhark's Mo'Creatures Extended","mocreatures:turkeycooked",8361,0,"false","Cooked Turkey",7,0.8,"foodTurkeycooked,listAllmeatcooked,listAllturkeycooked"
"DrZhark's Mo'Creatures Extended","mocreatures:turkeyraw",8360,0,"false","Raw Turkey",3,0.4,"foodTurkeyraw,listAllmeatraw,listAllturkeyraw"
"DrZhark's Mo'Creatures Extended","mocreatures:turtlecooked",8303,0,"false","Cooked Turtle",6,0.7,"foodTurtlecooked,listAllmeatcooked"
"DrZhark's Mo'Creatures Extended","mocreatures:turtleraw",8302,0,"false","Raw Turtle",2,0.2,"foodTurtleraw,listAllmeatraw"
"DrZhark's Mo'Creatures Extended","mocreatures:turtlesoup",8304,0,"false","Turtle Soup",8,0.8,"foodTurtlesoup"
"DrZhark's Mo'Creatures Extended","mocreatures:venisoncooked",8372,0,"false","Cooked Venison",8,0.9,"foodVenisoncooked,listAllmeatcooked,listAllvenisoncooked"
"DrZhark's Mo'Creatures Extended","mocreatures:venisonraw",8371,0,"false","Raw Venison",3,0.4,"foodVenisonraw,listAllmeatraw,listAllvenisonraw"
"End Expansion","ee:bug_food",15824,0,"false","Parasite Flesh",8,2.0,""
"End Expansion","ee:heal_food",16953,0,"false","Turium Bulb",2,1.0,""
"Exotic Birds","exoticbirds:birdmeat",8886,0,"false","Raw Bird Meat",1,0.3,"listAllmeatraw"
"Exotic Birds","exoticbirds:cooked_birdmeat",8887,0,"false","Cooked Bird Meat",3,0.6,"listAllmeatcooked"
"Familiar Fauna","familiarfauna:turkey_leg_cooked",4598,0,"false","Cooked Turkey Leg",5,0.5,"cookedTurkey,foodTurkeycooked,listAllmeatcooked,listAllturkeycooked"
"Familiar Fauna","familiarfauna:turkey_leg_raw",4597,0,"false","Raw Turkey Leg",1,0.25,"foodTurkeyraw,listAllmeatraw,listAllturkeyraw,rawTurkey"
"Familiar Fauna","familiarfauna:venison_cooked",4600,0,"false","Cooked Venison",8,0.8,"cookedVenison,foodVenisoncooked,listAllmeatcooked,listAllvenisoncooked"
"Familiar Fauna","familiarfauna:venison_raw",4599,0,"false","Raw Venison",3,0.3,"foodVenisonraw,listAllmeatraw,listAllvenisonraw,rawVenison"
"Fish's Undead Rising","mod_lavacow:baobing",9102,0,"false","Baobing",6,0.6,""
"Fish's Undead Rising","mod_lavacow:bonestew",9083,0,"false","Bone Stew",6,0.6,""
"Fish's Undead Rising","mod_lavacow:cactus_fruit",9100,0,"false","Prickly Pear",4,0.2,""
"Fish's Undead Rising","mod_lavacow:canebeef",9002,0,"false","Caned Beef",5,0.5,""
"Fish's Undead Rising","mod_lavacow:canepork",9003,0,"false","Caned Pork",5,0.5,""
"Fish's Undead Rising","mod_lavacow:canerottenmeat",9004,0,"false","Caned Rotten Flesh",3,0.3,""
"Fish's Undead Rising","mod_lavacow:cheirolepis",9011,0,"false","Raw Cheirolepis",6,0.8,"listAllfishraw"
"Fish's Undead Rising","mod_lavacow:cheirolepis_cooked",9012,0,"false","Cooked Cheirolepis",2,0.1,"listAllfishcooked"
"Fish's Undead Rising","mod_lavacow:crabcake",9074,0,"false","Crab Cake",5,0.8,""
"Fish's Undead Rising","mod_lavacow:enigmoth_larva_item",9105,0,"false","Raw Enigmoth Caterpillar",2,0.3,""
"Fish's Undead Rising","mod_lavacow:enigmoth_larva_item_cooked",9106,0,"false","Cooked Enigmoth Caterpillar",6,0.6,""
"Fish's Undead Rising","mod_lavacow:frozenthigh",9018,0,"false","Frozen Thigh",10,1.2,""
"Fish's Undead Rising","mod_lavacow:ghostjelly",9076,0,"false","Ghost Jelly",6,0.6,""
"Fish's Undead Rising","mod_lavacow:green_bacon_and_eggs",9029,0,"false","Green Bacon & Eggs",10,1.2,"foodBaconandeggs,foodGreeneggsandham"
"Fish's Undead Rising","mod_lavacow:meatball",9014,0,"false","Meat Ball",2,0.6,"foodSwedishmeatballs"
"Fish's Undead Rising","mod_lavacow:mimic_claw",9034,0,"false","Raw Mimicrab Claw",3,0.3,"foodCrabraw,listAllmeatraw"
"Fish's Undead Rising","mod_lavacow:mimic_claw_cooked",9035,0,"false","Baked Mimicrab Claw",8,0.8,"foodCrabcooked,listAllmeatcooked"
"Fish's Undead Rising","mod_lavacow:mousse",9013,0,"false","Raw Minced Meat",3,0.1,""
"Fish's Undead Rising","mod_lavacow:netherstew",9001,0,"false","Nether Stew",6,0.6,""
"Fish's Undead Rising","mod_lavacow:parasite_item",9007,0,"true","Parasite",2,0.3,""
"Fish's Undead Rising","mod_lavacow:parasite_item",9007,1,"true","Parasite",2,0.3,""
"Fish's Undead Rising","mod_lavacow:parasite_item",9007,2,"true","Parasite",2,0.3,""
"Fish's Undead Rising","mod_lavacow:parasite_item_cooked",9008,0,"false","Cooked Parasite",6,0.6,""
"Fish's Undead Rising","mod_lavacow:piranha",9009,0,"false","Raw Piranha",2,0.1,"listAllfishraw"
"Fish's Undead Rising","mod_lavacow:piranha_cooked",9010,0,"false","Cooked Piranha",6,0.8,"listAllfishcooked"
"Fish's Undead Rising","mod_lavacow:plagued_porkchop",9028,0,"false","Plagued Porkchop",3,0.3,"listAllmeatraw"
"Fish's Undead Rising","mod_lavacow:ptera_wing",9046,0,"true","Raw Ptera Wing",4,0.1,"listAllmeatraw"
"Fish's Undead Rising","mod_lavacow:ptera_wing",9046,1,"true","Raw Ptera Wing",4,0.1,"listAllmeatraw"
"Fish's Undead Rising","mod_lavacow:ptera_wing_cooked",9047,0,"false","Fried Ptera Wing",8,0.8,"foodHotwings,listAllmeatcooked"
"Fish's Undead Rising","mod_lavacow:sausage_roll",9052,0,"false","Sausage Roll",8,0.8,""
"Fish's Undead Rising","mod_lavacow:shattered_ice",9064,0,"false","Shattered Ice",1,1.8,""
"Fish's Undead Rising","mod_lavacow:zombiepiranha_item",9056,0,"false","Raw Swarmer",2,0.1,"listAllfishraw"
"Fish's Undead Rising","mod_lavacow:zombiepiranha_item_cooked",9057,0,"false","Cooked Swarmer",6,0.8,"listAllfishcooked"
"Future MC","futuremc:honey_bottle",8183,0,"false","Honey Bottle",6,0.8,"foodHoneydrop,listAllsugar"
"Future MC","futuremc:suspicious_stew",8185,0,"false","Suspicious Stew",6,0.6,""
"Future MC","futuremc:sweet_berries",8184,0,"false","Sweet Berries",2,0.2,"cropSweetBerry,cropWildberry,listAllberry,listAllfruit,seedSweetBerry"
"Grimoire of Gaia 3","grimoireofgaia:food_coalfish",9232,0,"false","Coalfish",4,0.4,""
"Grimoire of Gaia 3","grimoireofgaia:food_honey",9234,0,"false","Honeydew",4,0.4,""
"Grimoire of Gaia 3","grimoireofgaia:food_mandrake",9236,0,"false","Mandrake",0,0.0,""
"Grimoire of Gaia 3","grimoireofgaia:food_meat",9229,0,"false","Meat",6,1.2,""
"Grimoire of Gaia 3","grimoireofgaia:food_monster_feed",9238,0,"false","Monster Feed",2,0.2,""
"Grimoire of Gaia 3","grimoireofgaia:food_monster_feed_premium",9239,0,"false","Premium Monster Feed",4,0.6,""
"Grimoire of Gaia 3","grimoireofgaia:food_nether_wart",9233,0,"false","Nether Wart Jam",4,0.4,"cropNetherWart"
"Grimoire of Gaia 3","grimoireofgaia:food_pie_apple_gold",9242,0,"false","Golden Apple Pie",12,0.8,""
"Grimoire of Gaia 3","grimoireofgaia:food_pie_mandrake",9240,0,"false","Mandrake Pie",8,0.8,""
"Grimoire of Gaia 3","grimoireofgaia:food_pie_meat",9241,0,"false","Fish Pie",8,0.8,""
"Grimoire of Gaia 3","grimoireofgaia:food_root",9231,0,"false","Taproot",0,0.0,""
"Grimoire of Gaia 3","grimoireofgaia:food_rotten_heart",9230,0,"false","Rotten Heart",4,0.0,""
"Grimoire of Gaia 3","grimoireofgaia:food_small_apple_gold",9235,0,"false","Golden Apple Pie Slice",1,0.4,""
"Grimoire of Gaia 3","grimoireofgaia:food_wither",9237,0,"false","Withered Brain",8,0.8,""
"Ice and Fire","iceandfire:ambrosia",9510,0,"false","Ambrosia",5,0.6,""
"Ice and Fire","iceandfire:fire_dragon_flesh",9485,0,"false","Fire Dragon Flesh",8,0.8,"listAllmeatraw"
"Ice and Fire","iceandfire:ice_dragon_flesh",9486,0,"false","Ice Dragon Flesh",8,0.8,"listAllmeatraw"
"Ice and Fire","iceandfire:pixie_dust",9507,0,"false","Pixie Dust",1,0.3,""
"Inspirations","inspirations:edibles",9727,0,"true","Heartbeet",2,2.4,""
"Inspirations","inspirations:potato_soup",9767,0,"false","Potato Soup",8,0.6,""
"Lycanites Mobs","lycanitesmobs:amber_cake",13313,0,"false","Amber Cake",10,0.8,""
"Lycanites Mobs","lycanitesmobs:battle_burrito",13125,0,"false","Battle Burrito",10,0.8,""
"Lycanites Mobs","lycanitesmobs:blood_chili",13126,0,"false","Blood Chili",10,0.8,""
"Lycanites Mobs","lycanitesmobs:bulwark_burger",13259,0,"false","Bulwark Burger",10,0.8,""
"Lycanites Mobs","lycanitesmobs:caecilian_ramen",13093,0,"false","Caecilian Ramen",10,0.8,""
"Lycanites Mobs","lycanitesmobs:cooked_arisaur_meat",13217,0,"false","Cooked Arisaur Meat",8,0.8,"listAllmeatcooked"
"Lycanites Mobs","lycanitesmobs:cooked_aspid_meat",13013,0,"false","Cooked Aspid Meat",6,0.7,"listAllbeefcooked,listAllmeatcooked"
"Lycanites Mobs","lycanitesmobs:cooked_bobeko_meat",13150,0,"false","Cooked Bobeko Meat",8,0.8,"listAllmeatcooked,listAllporkcooked"
"Lycanites Mobs","lycanitesmobs:cooked_cephignis_meat",13054,0,"false","Cooked Cephignis Meat",8,0.8,"listAllfishcooked,listAllmeatcooked"
"Lycanites Mobs","lycanitesmobs:cooked_chupacabra_meat",12940,0,"false","Cooked Chupacabra Meat",7,0.7,"listAllmeatcooked,listAllmuttoncooked"
"Lycanites Mobs","lycanitesmobs:cooked_concapede_meat",13062,0,"false","Cooked Concapede Meat",8,0.8,"listAllEntomocooked,listAllchickencooked,listAllmeatcooked"
"Lycanites Mobs","lycanitesmobs:cooked_ika_meat",12939,0,"false","Cooked Ika Meat",8,0.8,"listAllfishcooked,listAllmeatcooked"
"Lycanites Mobs","lycanitesmobs:cooked_joust_meat",13024,0,"false","Cooked Jouste Meat",7,0.7,"listAllchickencooked,listAllmeatcooked"
"Lycanites Mobs","lycanitesmobs:cooked_krake_meat",13212,0,"false","Cooked Krake Meat",6,0.6,"listAllmeatcooked,listAllrabbitcooked"
"Lycanites Mobs","lycanitesmobs:cooked_maka_meat",13262,0,"false","Cooked Maka Meat",8,0.8,"listAllmeatcooked,listAllporkcooked"
"Lycanites Mobs","lycanitesmobs:cooked_pinky_meat",13196,0,"false","Cooked Pinky Meat",8,0.8,"listAllbeefcooked,listAllmeatcooked"
"Lycanites Mobs","lycanitesmobs:cooked_silex_meat",13051,0,"false","Cooked Silex Meat",6,0.6,"listAllfishcooked,listAllmeatcooked"
"Lycanites Mobs","lycanitesmobs:cooked_yale_meat",13006,0,"false","Cooked Yale Meat",7,0.7,"listAllmeatcooked,listAllmuttoncooked"
"Lycanites Mobs","lycanitesmobs:devil_lasagna",13307,0,"false","Devil Lasagna",10,0.8,""
"Lycanites Mobs","lycanitesmobs:explorers_risotto",13155,0,"false","Explorers Risotto",10,0.8,""
"Lycanites Mobs","lycanitesmobs:lapis_fish_and_chips",13135,0,"false","Lapis Fish and Chips",10,0.8,""
"Lycanites Mobs","lycanitesmobs:moss_pie",13148,0,"false","Moss Pie",10,0.8,""
"Lycanites Mobs","lycanitesmobs:pale_soup",13005,0,"false","Pale Soup",10,0.8,""
"Lycanites Mobs","lycanitesmobs:paleo_salad",13245,0,"false","Paleo Salad",10,0.8,""
"Lycanites Mobs","lycanitesmobs:peaks_kebab",13165,0,"false","Peaks Kebab",10,0.8,""
"Lycanites Mobs","lycanitesmobs:raw_arisaur_meat",13233,0,"false","Raw Arisaur Meat",3,0.3,"listAllmeatraw"
"Lycanites Mobs","lycanitesmobs:raw_aspid_meat",13012,0,"false","Raw Aspid Meat",3,0.3,"listAllbeefraw,listAllmeatraw"
"Lycanites Mobs","lycanitesmobs:raw_bobeko_meat",13302,0,"false","Raw Bobeko Meat",3,0.3,"listAllmeatraw,listAllporkraw"
"Lycanites Mobs","lycanitesmobs:raw_chupacabra_meat",13286,0,"false","Raw Chupacabra Meat",3,0.3,"listAllmeatraw,listAllmuttonraw"
"Lycanites Mobs","lycanitesmobs:raw_concapede_meat",13023,0,"false","Raw Concapede Meat",3,0.3,"listAllEntomoraw,listAllchickenraw,listAllmeatraw"
"Lycanites Mobs","lycanitesmobs:raw_ika_meat",13224,0,"false","Raw Ika Meat",3,0.3,"listAllfishraw,listAllmeatraw"
"Lycanites Mobs","lycanitesmobs:raw_joust_meat",12956,0,"false","Raw Jouste Meat",3,0.3,"listAllchickenraw,listAllmeatraw"
"Lycanites Mobs","lycanitesmobs:raw_krake_meat",13187,0,"false","Raw Krake Meat",3,0.3,"listAllmeatraw,listAllrabbitraw"
"Lycanites Mobs","lycanitesmobs:raw_maka_meat",13271,0,"false","Raw Maka Meat",3,0.3,"listAllmeatraw,listAllporkraw"
"Lycanites Mobs","lycanitesmobs:raw_pinky_meat",13195,0,"false","Raw Pinky Meat",3,0.3,"listAllbeefraw,listAllmeatraw"
"Lycanites Mobs","lycanitesmobs:raw_silex_meat",13243,0,"false","Raw Silex Meat",3,0.3,"listAllfishraw,listAllmeatraw"
"Lycanites Mobs","lycanitesmobs:raw_yale_meat",13190,0,"false","Raw Yale Meat",3,0.3,"listAllmeatraw,listAllmuttonraw"
"Lycanites Mobs","lycanitesmobs:searing_taco",12938,0,"false","Searing Taco",10,0.8,""
"Lycanites Mobs","lycanitesmobs:seashell_maki",12948,0,"false","Seashell Maki",10,0.8,""
"Lycanites Mobs","lycanitesmobs:tropical_curry",13121,0,"false","Tropical Curry",10,0.8,""
"Maelstrom Mod","mm:elk_jerky",9786,0,"false","Elk Jerky",8,1.0,""
"Maelstrom Mod","mm:elk_strips",9785,0,"false","Elk Strips",3,0.3,""
"Maelstrom Mod","mm:plum",9787,0,"false","Plum",4,0.3,""
"Minecraft","minecraft:apple",260,0,"false","Apple",1,0.6,"cropApple,listAllFruit,listAllfruit"
"Minecraft","minecraft:baked_potato",393,0,"false","Baked Potato",2,1.2,"listAllVegetables"
"Minecraft","minecraft:beef",363,0,"false","Raw Beef",1,0.6,"foodMeat,listAllbeefraw,listAllmeatraw"
"Minecraft","minecraft:beetroot",434,0,"false","Beetroot",1,0.6,"cropBeet,cropBeetroot,foodVegetable,listAllVegetables,listAllveggie"
"Minecraft","minecraft:beetroot_soup",436,0,"false","Beetroot Soup",9,1.2,""
"Minecraft","minecraft:bread",297,0,"false","Bread",3,1.2,"bread,foodBread,listAllVegetables"
"Minecraft","minecraft:carrot",391,0,"false","Carrot",1,0.6,"cropCarrot,foodVegetable,listAllVegetables,listAllveggie"
"Minecraft","minecraft:chicken",365,0,"false","Raw Chicken",1,0.6,"foodMeat,listAllchickenraw,listAllmeatraw"
"Minecraft","minecraft:chorus_fruit",432,0,"false","Chorus Fruit",4,0.3,"listAllfruit"
"Minecraft","minecraft:clownfish",14760,0,"false","Clownfish",1,0.6,"listAllfishfresh,listAllfishraw"
"Minecraft","minecraft:cod",14756,0,"false","Raw Fish",1,0.6,"listAllfishfresh,listAllfishraw"
"Minecraft","minecraft:cooked_beef",364,0,"false","Steak",2,0.6,"foodMeat,listAllbeefcooked,listAllmeatcooked"
"Minecraft","minecraft:cooked_chicken",366,0,"false","Cooked Chicken",2,0.6,"foodMeat,listAllchickencooked,listAllmeatcooked"
"Minecraft","minecraft:cooked_cod",14757,0,"false","Cooked Fish",2,0.6,"listAllfishcooked"
"Minecraft","minecraft:cooked_fish",350,0,"true","Cooked Fish",5,0.6,"listAllfishcooked,listAllmeatcooked"
"Minecraft","minecraft:cooked_fish",350,1,"true","Cooked Salmon",6,0.8,"listAllfishcooked,listAllmeatcooked"
"Minecraft","minecraft:cooked_mutton",424,0,"false","Cooked Mutton",2,0.6,"foodMeat,foodMuttoncooked,listAllmeatcooked,listAllmuttoncooked"
