"Mod name","Registry name","Entity class name","ID"
"Ancient Warfare NPCs","ancientwarfarenpc:faction.civilian.female","NpcFactionCivilianFemale",15
"Ancient Warfare NPCs","ancientwarfarenpc:faction.civilian.male","NpcFactionCivilianMale",14
"Ancient Warfare NPCs","ancientwarfarenpc:faction.leader","NpcFactionLeader",9
"Ancient Warfare NPCs","ancientwarfarenpc:faction.leader.elite","NpcFactionLeaderElite",18
"Ancient Warfare NPCs","ancientwarfarenpc:faction.mounted_archer","NpcFactionMountedArcher",13
"Ancient Warfare NPCs","ancientwarfarenpc:faction.priest","NpcFactionPriest",10
"Ancient Warfare NPCs","ancientwarfarenpc:faction.siege_engineer","NpcFactionSiegeEngineer",20
"Ancient Warfare NPCs","ancientwarfarenpc:faction.soldier","NpcFactionSoldier",8
"Ancient Warfare NPCs","ancientwarfarenpc:faction.soldier.elite","NpcFactionSoldierElite",17
"Ancient Warfare NPCs","ancientwarfarenpc:faction.spellcaster","NpcFactionSpellcasterWizardry",21
"Ancient Warfare NPCs","ancientwarfarenpc:faction.trader","NpcFactionTrader",11
"Ancient Warfare Structures","ancientwarfarestructure:aw_gate","EntityGate",0
"Ancient Warfare Structures","ancientwarfarestructure:seat","EntitySeat",1
"Ancient Warfare Vehicles","ancientwarfarevehicle:missile","MissileBase",1
"Ancient Warfare Vehicles","ancientwarfarevehicle:vehicle","VehicleBase",0
"AncientSpellcraft","ancientspellcraft:animated_item","EntityAnimatedItem",31
"AncientSpellcraft","ancientspellcraft:anti_magic_field","EntityAntiMagicField",24
"AncientSpellcraft","ancientspellcraft:aoe_projectile_entity","EntityAOEProjectile",42
"AncientSpellcraft","ancientspellcraft:arcane_barrier","EntityArcaneBarrier",41
"AncientSpellcraft","ancientspellcraft:barter_entity","EntityBarterConstruct",40
"AncientSpellcraft","ancientspellcraft:builder_entity","EntityBuilder",30
"AncientSpellcraft","ancientspellcraft:contingency_projectile","EntityMetamagicProjectile",25
"AncientSpellcraft","ancientspellcraft:creeper_minion","EntityCreeperMinion",34
"AncientSpellcraft","ancientspellcraft:devoritium_arrow","EntityDevoritiumArrow",7
"AncientSpellcraft","ancientspellcraft:devoritium_bomb","EntityDevoritiumBomb",6
"AncientSpellcraft","ancientspellcraft:dispel_greater_magic","EntityDispelGreaterMagic",4
"AncientSpellcraft","ancientspellcraft:dispel_magic","EntityDispelMagic",3
"AncientSpellcraft","ancientspellcraft:entity_volcano","EntityVolcano",23
"AncientSpellcraft","ancientspellcraft:evil_class_wizard","EntityEvilClassWizard",39
"AncientSpellcraft","ancientspellcraft:fire_ant","EntityFireAnt",16
"AncientSpellcraft","ancientspellcraft:flint_projectile","EntityFlint",8
"AncientSpellcraft","ancientspellcraft:healing_heart","EntityHeart",2
"AncientSpellcraft","ancientspellcraft:healing_sigil","EntityHealingSigil",22
"AncientSpellcraft","ancientspellcraft:mage_light_entity","EntityMageLight",1
"AncientSpellcraft","ancientspellcraft:master_bolt","EntityMasterBolt",32
"AncientSpellcraft","ancientspellcraft:metamagic_projectile","EntityContingencyProjectile",26
"AncientSpellcraft","ancientspellcraft:molten_boulder","EntityMoltenBoulder",33
"AncientSpellcraft","ancientspellcraft:mushroom_forest","EntitySpellTicker",29
"AncientSpellcraft","ancientspellcraft:ordinary_spider_minion","EntityOrdinarySpiderMinion",18
"AncientSpellcraft","ancientspellcraft:pig_zombie_minion","EntityPigZombieMinion",35
"AncientSpellcraft","ancientspellcraft:safe_ice_shard","EntitySafeIceShard",9
"AncientSpellcraft","ancientspellcraft:sentinel","EntitySentinel",27
"AncientSpellcraft","ancientspellcraft:silencing_sigil","EntitySilencingSigil",21
"AncientSpellcraft","ancientspellcraft:skeleton_horse_minion","EntitySkeletonHorseMinion",17
"AncientSpellcraft","ancientspellcraft:skeleton_mage","EntitySkeletonMage",12
"AncientSpellcraft","ancientspellcraft:skeleton_mage_minion","EntitySkeletonMageMinion",11
"AncientSpellcraft","ancientspellcraft:spellcaster_entity","EntitySpellCaster",28
"AncientSpellcraft","ancientspellcraft:spirit_bear","EntitySpiritBear",14
"AncientSpellcraft","ancientspellcraft:spirit_ward","EntitySpiritWard",20
"AncientSpellcraft","ancientspellcraft:stone_guardian","EntityStoneGuardian",36
"AncientSpellcraft","ancientspellcraft:stone_guardian_shard","EntityStoneGuardianShard",37
"AncientSpellcraft","ancientspellcraft:transportation_portal","EntityTransportationPortal",19
"AncientSpellcraft","ancientspellcraft:venus_fly_trap","EntityVenusFlyTrap",15
"AncientSpellcraft","ancientspellcraft:void_creeper","EntityVoidCreeper",10
"AncientSpellcraft","ancientspellcraft:will_o_wisp","EntityWisp",0
"AncientSpellcraft","ancientspellcraft:wizard_blast","EntityManaVortex",5
"AncientSpellcraft","ancientspellcraft:wizardmerchant","EntityWizardMerchant",38
"AncientSpellcraft","ancientspellcraft:wolf_minion","EntityWolfMinion",13
"Aquaculture","aquaculture:custom_fish_hook","EntityCustomFishHook",0
"ArcaneApprentices","arcaneapprentices:wizard_initiate","EntityWizardInitiate",0
"Artifacts","artifacts:hallow_star","EntityHallowStar",1
"Artifacts","artifacts:mimic","EntityMimic",0
"AstikorCarts","astikorcarts:cargocart","EntityCargoCart",0
"AstikorCarts","astikorcarts:mobcart","EntityMobCart",2
"AstikorCarts","astikorcarts:plowcart","EntityPlowCart",1
"Astral Sorcery","astralsorcery:entitycrystal","EntityCrystal",2
"Astral Sorcery","astralsorcery:entitycrystaltool","EntityCrystalTool",7
"Astral Sorcery","astralsorcery:entityflare","EntityFlare",3
"Astral Sorcery","astralsorcery:entitygrapplinghook","EntityGrapplingHook",8
"Astral Sorcery","astralsorcery:entityhighlighted","EntityItemHighlighted",0
"Astral Sorcery","astralsorcery:entityilluminationspark","EntityIlluminationSpark",5
"Astral Sorcery","astralsorcery:entityitemdamageresistant","EntityItemExplosionResistant",13
"Astral Sorcery","astralsorcery:entityliquidspark","EntityLiquidSpark",10
"Astral Sorcery","astralsorcery:entitynocturnalspark","EntityNocturnalSpark",6
"Astral Sorcery","astralsorcery:entityobservatoryhelper","EntityObservatoryHelper",11
"Astral Sorcery","astralsorcery:entityshootingstar","EntityShootingStar",12
"Astral Sorcery","astralsorcery:entityspectraltool","EntitySpectralTool",9
"Astral Sorcery","astralsorcery:entitystarburst","EntityStarburst",4
"Astral Sorcery","astralsorcery:entitystardust","EntityItemStardust",1
"Atum 2","atum:arrow_double_shot_black","EntityArrowDoubleShotBlack",21
"Atum 2","atum:arrow_double_shot_white","EntityArrowDoubleShotWhite",22
"Atum 2","atum:arrow_explosive","EntityArrowExplosive",23
"Atum 2","atum:arrow_fire","EntityArrowFire",24
"Atum 2","atum:arrow_poison","EntityArrowPoison",26
"Atum 2","atum:arrow_quickdraw","EntityArrowQuickdraw",27
"Atum 2","atum:arrow_rain","EntityArrowRain",28
"Atum 2","atum:arrow_slowness","EntityArrowSlowness",29
"Atum 2","atum:arrow_straight","EntityArrowStraight",31
"Atum 2","atum:assassin","EntityAssassin",1
"Atum 2","atum:barbarian","EntityBarbarian",3
"Atum 2","atum:bonestorm","EntityBonestorm",4
"Atum 2","atum:brigand","EntityBrigand",5
"Atum 2","atum:camel","EntityCamel",6
"Atum 2","atum:camel_spit","EntityCamelSpit",20
"Atum 2","atum:desert_rabbit","EntityDesertRabbit",12
"Atum 2","atum:desert_wolf","EntityDesertWolf",7
"Atum 2","atum:forsaken","EntityForsaken",8
"Atum 2","atum:heart_of_ra","EntityHeartOfRa",25
"Atum 2","atum:mummy","EntityMummy",9
"Atum 2","atum:nomad","EntityNomad",10
"Atum 2","atum:pharaoh","EntityPharaoh",11
"Atum 2","atum:scarab","EntityScarab",13
"Atum 2","atum:small_bone","EntitySmallBone",30
"Atum 2","atum:stoneguard","EntityStoneguard",14
"Atum 2","atum:stonewarden","EntityStonewarden",15
"Atum 2","atum:sunspeaker","EntitySunspeaker",16
"Atum 2","atum:tarantula","EntityTarantula",17
"Atum 2","atum:tefnuts_call","EntityTefnutsCall",32
"Atum 2","atum:warlord","EntityWarlord",2
"Atum 2","atum:wraith","EntityWraith",18
"Better Animals Plus","betteranimalsplus:badger","EntityBadger",16
"Better Animals Plus","betteranimalsplus:badgerdirt","EntityBadgerDirt",32
"Better Animals Plus","betteranimalsplus:blackbear","EntityBearNeutral",1
"Better Animals Plus","betteranimalsplus:boar","EntityBoar",13
"Better Animals Plus","betteranimalsplus:bobbit_worm","EntityBobbitWorm",25
"Better Animals Plus","betteranimalsplus:brownbear","EntityBear",0
"Better Animals Plus","betteranimalsplus:coyote","EntityCoyote",5
"Better Animals Plus","betteranimalsplus:crab","EntityCrab",19
"Better Animals Plus","betteranimalsplus:deer","EntityDeer",2
"Better Animals Plus","betteranimalsplus:eel_freshwater","EntityFreshwaterEel",27
"Better Animals Plus","betteranimalsplus:eel_saltwater","EntitySaltwaterEel",28
"Better Animals Plus","betteranimalsplus:feralwolf","EntityFeralWolf",4
"Better Animals Plus","betteranimalsplus:fox","EntityFox",6
"Better Animals Plus","betteranimalsplus:goat","EntityGoat",9
"Better Animals Plus","betteranimalsplus:golden_goose_egg","EntityGoldenGooseEgg",37
"Better Animals Plus","betteranimalsplus:goose","EntityGoose",26
"Better Animals Plus","betteranimalsplus:goose_egg","EntityGooseEgg",36
"Better Animals Plus","betteranimalsplus:hirschgeist","EntityHirschgeist",8
"Better Animals Plus","betteranimalsplus:horseshoecrab","EntityHorseshoeCrab",20
"Better Animals Plus","betteranimalsplus:jellyfish","EntityJellyfish",10
"Better Animals Plus","betteranimalsplus:kermodebear","EmptyEntity",33
"Better Animals Plus","betteranimalsplus:lammergeier","EntityLammergeier",3
"Better Animals Plus","betteranimalsplus:lamprey","EntityLamprey",17
"Better Animals Plus","betteranimalsplus:moose","EntityMoose",22
"Better Animals Plus","betteranimalsplus:nautilus","EntityNautilus",18
"Better Animals Plus","betteranimalsplus:pheasant","EntityPheasant",11
"Better Animals Plus","betteranimalsplus:pheasantegg","EntityPheasantEgg",34
"Better Animals Plus","betteranimalsplus:reindeer","EntityReindeer",12
"Better Animals Plus","betteranimalsplus:shark","EntityShark",21
"Better Animals Plus","betteranimalsplus:songbird","EntitySongbird",15
"Better Animals Plus","betteranimalsplus:squirrel","EntitySquirrel",14
"Better Animals Plus","betteranimalsplus:tarantula","EntityTarantula",7
"Better Animals Plus","betteranimalsplus:tarantulahair","EntityTarantulaHair",31
"Better Animals Plus","betteranimalsplus:turkey","EntityTurkey",23
"Better Animals Plus","betteranimalsplus:turkeyegg","EntityTurkeyEgg",35
"Better Animals Plus","betteranimalsplus:walrus","EntityWalrus",30
"Better Animals Plus","betteranimalsplus:whale","EntityWhale",29
"Better Animals Plus","betteranimalsplus:zotzpyre","EntityZotzpyre",24
"Bewitchment","bewitchment:bafometyr","EntityBafometyr",18
"Bewitchment","bewitchment:baphomet","EntityBaphomet",22
"Bewitchment","bewitchment:black_dog","EntityBlackDog",9
"Bewitchment","bewitchment:cambion","EntityCambion",20
"Bewitchment","bewitchment:cleaver","EntityCleaver",14
"Bewitchment","bewitchment:cypress_broom","EntityCypressBroom",0
"Bewitchment","bewitchment:demon","EntityDemon",15
"Bewitchment","bewitchment:demoness","EntityDemoness",16
"Bewitchment","bewitchment:dragons_blood_broom","EntityDragonsBloodBroom",3
"Bewitchment","bewitchment:druden","EntityDruden",21
"Bewitchment","bewitchment:elder_broom","EntityElderBroom",1
"Bewitchment","bewitchment:feuerwurm","EntityFeuerwurm",12
"Bewitchment","bewitchment:ghost","EntityGhost",10
"Bewitchment","bewitchment:hellhound","EntityHellhound",11
"Bewitchment","bewitchment:imp","EntityImp",17
"Bewitchment","bewitchment:juniper_broom","EntityJuniperBroom",2
"Bewitchment","bewitchment:leonard","EntityLeonard",23
"Bewitchment","bewitchment:lizard","EntityLizard",4
"Bewitchment","bewitchment:owl","EntityOwl",5
"Bewitchment","bewitchment:raven","EntityRaven",6
"Bewitchment","bewitchment:shadow_person","EntityShadowPerson",19
"Bewitchment","bewitchment:silver_arrow","EntitySilverArrow",24
"Bewitchment","bewitchment:snake","EntitySnake",7
"Bewitchment","bewitchment:toad","EntityToad",8
"Bewitchment","bewitchment:werewolf","EntityWerewolf",13
"Biomes O' Plenty","biomesoplenty:bop_boat","EntityBOPBoat",2
"Biomes O' Plenty","biomesoplenty:mudball","EntityMudball",1
"Biomes O' Plenty","biomesoplenty:wasp","EntityWasp",3
"Botania","botania:babylon_weapon","EntityBabylonWeapon",17
"Botania","botania:corporea_spark","EntityCorporeaSpark",11
"Botania","botania:doppleganger","EntityDoppleganger",5
"Botania","botania:ender_air_bottle","EntityEnderAirBottle",12
"Botania","botania:falling_star","EntityFallingStar",18
"Botania","botania:flame_ring","EntityFlameRing",3
"Botania","botania:magic_landmine","EntityMagicLandmine",6
"Botania","botania:magic_missile","EntityMagicMissile",9
"Botania","botania:mana_burst","EntityManaBurst",0
"Botania","botania:mana_storm","EntityManaStorm",16
"Botania","botania:pink_wither","EntityPinkWither",14
"Botania","botania:pixie","EntityPixie",2
"Botania","botania:player_mover","EntityPlayerMover",15
"Botania","botania:pool_minecart","EntityPoolMinecart",13
"Botania","botania:signal_flare","EntitySignalFlare",1
"Botania","botania:spark","EntitySpark",7
"Botania","botania:thorn_chakram","EntityThornChakram",10
"Botania","botania:thrown_item","EntityThrownItem",8
"Botania","botania:vine_ball","EntityVineBall",4
"Buttermilk","buttermilk:moobloom","EntityCustom",7
"Charm","charm:charged_emerald","EntityChargedEmerald",1
"Charm","charm:endermite_powder","EntityEndermitePowder",0
"Charm","charm:spectre","EntitySpectre",2
"Comforts","comforts:_entity_rest","EntityRest",1
"Comfy Cozy","comfycozy:entitydirtypig","EntityDirtyPig",2
"Comfy Cozy","comfycozy:entityfurnacegolem","EntityFurnaceGolem",3
"Comfy Cozy","comfycozy:entitymushy","EntityMushy",1
"Comfy Cozy","comfycozy:entityoatmealsheep","EntityOatmealSheep",0
"Comfy Cozy","comfycozy:entityoatmealsheepcinnamon","EntityOatmealSheepCinnamon",5
"Comfy Cozy","comfycozy:entityoatmealsheepgoldapple","EntityOatmealSheepGoldApple",7
"Comfy Cozy","comfycozy:entityoatmealsheeppeach","EntityOatmealSheepPeach",6
"Comfy Cozy","comfycozy:entityoatmealsheepstrawberry","EntityOatmealSheepStrawberry",4
"Corail Tombstone","tombstone:grave_guardian","GraveGuardian",0
"CoroUtil Library","coroutil:bat_smart","EntityBatSmart",0
"Davinci's Vessels","davincisvessels:parachute","EntityParachute",3
"Davinci's Vessels","davincisvessels:seat","EntitySeat",2
"Davinci's Vessels","davincisvessels:ship","EntityShip",1
"Dawn Of Time : Builder Edition","dawnoftimebuilder:japanese_dragon","EntityJapaneseDragon",1
"Dawn Of Time : Builder Edition","dawnoftimebuilder:seat","EntitySeat",2
"Dawn Of Time : Builder Edition","dawnoftimebuilder:silkmoth","EntitySilkmoth",0
"DrZhark's Mo'Creatures Extended","mocreatures:anchovy","MoCEntityAnchovy",65
"DrZhark's Mo'Creatures Extended","mocreatures:angelfish","MoCEntityAngelFish",66
"DrZhark's Mo'Creatures Extended","mocreatures:angler","MoCEntityAngler",67
"DrZhark's Mo'Creatures Extended","mocreatures:ant","MoCEntityAnt",82
"DrZhark's Mo'Creatures Extended","mocreatures:bass","MoCEntityBass",68
"DrZhark's Mo'Creatures Extended","mocreatures:bee","MoCEntityBee",83
"DrZhark's Mo'Creatures Extended","mocreatures:biggolem","MoCEntityGolem",46
"DrZhark's Mo'Creatures Extended","mocreatures:bird","MoCEntityBird",6
"DrZhark's Mo'Creatures Extended","mocreatures:blackbear","MoCEntityBlackBear",7
"DrZhark's Mo'Creatures Extended","mocreatures:boar","MoCEntityBoar",8
"DrZhark's Mo'Creatures Extended","mocreatures:bunny","MoCEntityBunny",9
"DrZhark's Mo'Creatures Extended","mocreatures:butterfly","MoCEntityButterfly",84
"DrZhark's Mo'Creatures Extended","mocreatures:caveogre","MoCEntityCaveOgre",42
"DrZhark's Mo'Creatures Extended","mocreatures:cavescorpion","MoCEntityCaveScorpion",57
"DrZhark's Mo'Creatures Extended","mocreatures:clownfish","MoCEntityClownFish",69
"DrZhark's Mo'Creatures Extended","mocreatures:cod","MoCEntityCod",70
"DrZhark's Mo'Creatures Extended","mocreatures:crab","MoCEntityCrab",85
"DrZhark's Mo'Creatures Extended","mocreatures:cricket","MoCEntityCricket",86
"DrZhark's Mo'Creatures Extended","mocreatures:crocodile","MoCEntityCrocodile",10
"DrZhark's Mo'Creatures Extended","mocreatures:darkmanticore","MoCEntityDarkManticore",49
"DrZhark's Mo'Creatures Extended","mocreatures:deer","MoCEntityDeer",12
"DrZhark's Mo'Creatures Extended","mocreatures:dirtscorpion","MoCEntityDirtScorpion",58
"DrZhark's Mo'Creatures Extended","mocreatures:dolphin","MoCEntityDolphin",71
"DrZhark's Mo'Creatures Extended","mocreatures:dragonfly","MoCEntityDragonfly",87
"DrZhark's Mo'Creatures Extended","mocreatures:duck","MoCEntityDuck",11
"DrZhark's Mo'Creatures Extended","mocreatures:egg","MoCEntityEgg",2
"DrZhark's Mo'Creatures Extended","mocreatures:elephant","MoCEntityElephant",13
"DrZhark's Mo'Creatures Extended","mocreatures:ent","MoCEntityEnt",14
"DrZhark's Mo'Creatures Extended","mocreatures:filchlizard","MoCEntityFilchLizard",15
"DrZhark's Mo'Creatures Extended","mocreatures:firefly","MoCEntityFirefly",88
"DrZhark's Mo'Creatures Extended","mocreatures:firemanticore","MoCEntityFireManticore",50
"DrZhark's Mo'Creatures Extended","mocreatures:fireogre","MoCEntityFireOgre",44
"DrZhark's Mo'Creatures Extended","mocreatures:firescorpion","MoCEntityFireScorpion",60
"DrZhark's Mo'Creatures Extended","mocreatures:fishy","MoCEntityFishy",72
"DrZhark's Mo'Creatures Extended","mocreatures:flamewraith","MoCEntityFlameWraith",43
"DrZhark's Mo'Creatures Extended","mocreatures:fly","MoCEntityFly",89
"DrZhark's Mo'Creatures Extended","mocreatures:fox","MoCEntityFox",16
"DrZhark's Mo'Creatures Extended","mocreatures:frostmanticore","MoCEntityFrostManticore",51
"DrZhark's Mo'Creatures Extended","mocreatures:frostscorpion","MoCEntityFrostScorpion",59
"DrZhark's Mo'Creatures Extended","mocreatures:goat","MoCEntityGoat",17
"DrZhark's Mo'Creatures Extended","mocreatures:goldfish","MoCEntityGoldFish",73
"DrZhark's Mo'Creatures Extended","mocreatures:grasshopper","MoCEntityGrasshopper",90
"DrZhark's Mo'Creatures Extended","mocreatures:greenogre","MoCEntityGreenOgre",45
"DrZhark's Mo'Creatures Extended","mocreatures:grizzlybear","MoCEntityGrizzlyBear",18
"DrZhark's Mo'Creatures Extended","mocreatures:hellrat","MoCEntityHellRat",48
"DrZhark's Mo'Creatures Extended","mocreatures:hippotang","MoCEntityHippoTang",74
"DrZhark's Mo'Creatures Extended","mocreatures:horsemob","MoCEntityHorseMob",47
"DrZhark's Mo'Creatures Extended","mocreatures:jellyfish","MoCEntityJellyFish",75
"DrZhark's Mo'Creatures Extended","mocreatures:kitty","MoCEntityKitty",19
"DrZhark's Mo'Creatures Extended","mocreatures:kittybed","MoCEntityKittyBed",3
"DrZhark's Mo'Creatures Extended","mocreatures:komododragon","MoCEntityKomodo",20
"DrZhark's Mo'Creatures Extended","mocreatures:leoger","MoCEntityLeoger",21
"DrZhark's Mo'Creatures Extended","mocreatures:leopard","MoCEntityLeopard",22
"DrZhark's Mo'Creatures Extended","mocreatures:liard","MoCEntityLiard",23
"DrZhark's Mo'Creatures Extended","mocreatures:liger","MoCEntityLiger",25
"DrZhark's Mo'Creatures Extended","mocreatures:lion","MoCEntityLion",24
"DrZhark's Mo'Creatures Extended","mocreatures:lither","MoCEntityLither",26
"DrZhark's Mo'Creatures Extended","mocreatures:litterbox","MoCEntityLitterBox",4
"DrZhark's Mo'Creatures Extended","mocreatures:maggot","MoCEntityMaggot",91
"DrZhark's Mo'Creatures Extended","mocreatures:manderin","MoCEntityManderin",76
"DrZhark's Mo'Creatures Extended","mocreatures:mantaray","MoCEntityMantaRay",79
"DrZhark's Mo'Creatures Extended","mocreatures:manticorepet","MoCEntityManticorePet",0
"DrZhark's Mo'Creatures Extended","mocreatures:minigolem","MoCEntityMiniGolem",54
"DrZhark's Mo'Creatures Extended","mocreatures:mole","MoCEntityMole",27
"DrZhark's Mo'Creatures Extended","mocreatures:mouse","MoCEntityMouse",28
"DrZhark's Mo'Creatures Extended","mocreatures:ostrich","MoCEntityOstrich",29
"DrZhark's Mo'Creatures Extended","mocreatures:pandabear","MoCEntityPandaBear",30
"DrZhark's Mo'Creatures Extended","mocreatures:panthard","MoCEntityPanthard",31
"DrZhark's Mo'Creatures Extended","mocreatures:panther","MoCEntityPanther",32
"DrZhark's Mo'Creatures Extended","mocreatures:panthger","MoCEntityPanthger",33
"DrZhark's Mo'Creatures Extended","mocreatures:petscorpion","MoCEntityPetScorpion",1
"DrZhark's Mo'Creatures Extended","mocreatures:piranha","MoCEntityPiranha",77
"DrZhark's Mo'Creatures Extended","mocreatures:plainmanticore","MoCEntityPlainManticore",52
"DrZhark's Mo'Creatures Extended","mocreatures:raccoon","MoCEntityRaccoon",35
"DrZhark's Mo'Creatures Extended","mocreatures:rat","MoCEntityRat",55
"DrZhark's Mo'Creatures Extended","mocreatures:roach","MoCEntityRoach",93
"DrZhark's Mo'Creatures Extended","mocreatures:salmon","MoCEntitySalmon",78
"DrZhark's Mo'Creatures Extended","mocreatures:shark","MoCEntityShark",80
"DrZhark's Mo'Creatures Extended","mocreatures:silverskeleton","MoCEntitySilverSkeleton",56
"DrZhark's Mo'Creatures Extended","mocreatures:snail","MoCEntitySnail",92
"DrZhark's Mo'Creatures Extended","mocreatures:snake","MoCEntitySnake",36
"DrZhark's Mo'Creatures Extended","mocreatures:stingray","MoCEntityStingRay",81
"DrZhark's Mo'Creatures Extended","mocreatures:tiger","MoCEntityTiger",37
"DrZhark's Mo'Creatures Extended","mocreatures:toxicmanticore","MoCEntityToxicManticore",53
"DrZhark's Mo'Creatures Extended","mocreatures:trock","MoCEntityThrowableRock",5
"DrZhark's Mo'Creatures Extended","mocreatures:turkey","MoCEntityTurkey",39
"DrZhark's Mo'Creatures Extended","mocreatures:turtle","MoCEntityTurtle",38
"DrZhark's Mo'Creatures Extended","mocreatures:undeadscorpion","MoCEntityUndeadScorpion",61
"DrZhark's Mo'Creatures Extended","mocreatures:werewolf","MoCEntityWerewolf",62
"DrZhark's Mo'Creatures Extended","mocreatures:wildhorse","MoCEntityHorse",40
"DrZhark's Mo'Creatures Extended","mocreatures:wildpolarbear","MoCEntityPolarBear",34
"DrZhark's Mo'Creatures Extended","mocreatures:wraith","MoCEntityWraith",63
"DrZhark's Mo'Creatures Extended","mocreatures:wwolf","MoCEntityWWolf",64
"DrZhark's Mo'Creatures Extended","mocreatures:wyvern","MoCEntityWyvern",41
"Eerie Entities","eerieentities:cursed_armor","EntityCursedArmor",3
"Eerie Entities","eerieentities:nether_knight","EntityNetherKnight",2
"Eerie Entities","eerieentities:pumpkin_slime","EntityPumpkinSlime",1
"Eerie Entities","eerieentities:wisp","EntityWisp",0
"Electroblob's Wizardry","ebwizardry:arrow_rain","EntityArrowRain",62
"Electroblob's Wizardry","ebwizardry:black_hole","EntityBlackHole",49
"Electroblob's Wizardry","ebwizardry:blaze_minion","EntityBlazeMinion",5
"Electroblob's Wizardry","ebwizardry:blizzard","EntityBlizzard",50
"Electroblob's Wizardry","ebwizardry:boulder","EntityBoulder",70
"Electroblob's Wizardry","ebwizardry:bubble","EntityBubble",67
"Electroblob's Wizardry","ebwizardry:combustion_rune","EntityCombustionRune",55
"Electroblob's Wizardry","ebwizardry:conjured_arrow","EntityConjuredArrow",30
"Electroblob's Wizardry","ebwizardry:darkness_orb","EntityDarknessOrb",38
"Electroblob's Wizardry","ebwizardry:dart","EntityDart",27
"Electroblob's Wizardry","ebwizardry:decay","EntityDecay",58
"Electroblob's Wizardry","ebwizardry:decoy","EntityDecoy",17
"Electroblob's Wizardry","ebwizardry:earthquake","EntityEarthquake",63
